ID,X,Y,Z,Indoor,InCar,BSdist,GCellID,Relay,RxNodeID,FreqInGHz,BandwidthMHz,N0,RSSI,BestRSRP,BestRSRPNode,BestSINR,RoIDbm,BestCouplingLoss,MaxTxAg,MaxRxAg,AssoTxAg,AssoRxAg,MaxTransmitBeamID
394,-130.107974,68.068821,1.5,false,false,148.706756,0,true,394,2.7,1.728,-104.62456261857125,0.00021839538542302905,-36.74187134990589,128,15.029565300212084,-1000,-75.11687134990589,14.628330324133927,-1000,14.628330324133927,0,0
405,78.216436,126.376678,1.5,false,false,150.469684,0,true,405,0.7,1.728,-104.62456261857125,0.0006606489695620004,-31.8292839164326,0,21.740627050955887,-1000,-70.2042839164326,16.792825780938415,-1000,16.792825780938415,0,0
416,96.442197,169.78342,1.5,false,false,196.671698,0,true,416,1.7,1.728,-104.62456261857125,9.425004367720472E-05,-40.37603801129916,0,15.56815690850437,-1000,-78.75103801129916,16.095098435451174,-1000,16.095098435451174,0,0
427,132.098348,74.613402,1.5,false,false,153.523234,0,true,427,3.7,1.728,-104.62456261857125,0.008535940652350214,-20.73958750485759,0,19.18327461476641,-1000,-59.11458750485759,14.15497660827996,-1000,14.15497660827996,0,0
439,67.797143,102.19583,1.5,false,false,124.870694,0,true,439,3.7,1.728,-104.62456261857125,0.0009472043182845917,-30.255099480496867,0,23.459676278792237,-1000,-68.63009948049687,16.07135667843865,-1000,16.07135667843865,0,0
462,174.350925,102.887571,1.5,false,false,203.804679,0,true,462,1.7,1.728,-104.62456261857125,0.00032465715013471765,-34.969777933574136,0,17.09153915028974,-1000,-73.34477793357414,13.444262030009295,-1000,13.444262030009295,0,0
474,19.358501,-24.252774,1.5,false,false,38.925552,0,true,474,1.7,1.728,-104.62456261857125,0.0001607554018888915,-37.9773576268131,256,20.446185831132873,-1000,-76.3523576268131,8.752224415876965,-1000,-11.82999951123011,0,0
481,-92.557742,-32.561943,1.5,false,false,100.893338,0,true,481,0.7,1.728,-104.62456261857125,0.012295670491266666,-19.116493019954916,128,24.904846563059785,-1000,-57.491493019954916,11.759415882136498,-1000,11.759415882136498,0,0
503,65.018349,103.688985,1.5,false,false,124.623598,0,true,503,1.7,1.728,-104.62456261857125,0.0009563516689852934,-30.213351617706337,0,23.46153816239744,-1000,-68.58835161770634,16.0794809150918,-1000,16.0794809150918,0,0
513,40.160923,-40.948001,1.5,false,false,61.982969,0,true,513,2.7,1.728,-104.62456261857125,0.0039464438887023825,-24.05186048822248,256,24.934547884386944,-1000,-62.42686048822248,9.097384306204072,-1000,2.2242393054874743,0,0
542,107.462751,-171.359997,1.5,false,false,203.628931,0,true,542,3.7,1.728,-104.62456261857125,0.0005693867024997263,-32.46883081738817,256,22.767268695832918,-1000,-70.84383081738817,15.900631644044221,-1000,15.900631644044221,0,0
547,136.312193,89.601545,1.5,false,false,164.808073,0,true,547,1.7,1.728,-104.62456261857125,0.0002596421831656651,-35.96286695568443,0,16.046058813540284,-1000,-74.33786695568443,14.707267047206022,-1000,14.707267047206022,0,0
588,142.151575,94.909662,1.5,false,false,172.531632,0,true,588,0.7,1.728,-104.62456261857125,0.007552395061300197,-21.25084982948306,0,21.351827414486593,-1000,-59.62584982948306,14.659663891888176,-1000,14.659663891888176,0,0
639,-99.298432,-30.81579,1.5,false,false,106.592878,0,true,639,2.7,1.728,-104.62456261857125,0.017247255484261568,-17.648105447891247,128,24.521737277847915,-1000,-56.02310544789125,13.215550380901227,-1000,13.215550380901227,0,0
643,32.094965,35.838862,1.5,false,false,53.54214,0,true,643,1.7,1.728,-104.62456261857125,0.0012043745096375425,-29.27850786944522,0,16.983497504769517,-1000,-67.65350786944522,8.961135048264818,-1000,-4.553674694851548,0,0
648,108.97315,155.456237,1.5,false,false,191.295684,0,true,648,3.7,1.728,-104.62456261857125,9.019656453309376E-05,-40.54542359447534,0,16.44691077060216,-1000,-78.92042359447534,16.15737179140825,-1000,16.15737179140825,0,0
650,-6.315048,109.672392,1.5,false,false,112.339501,0,true,650,0.7,1.728,-104.62456261857125,0.0055739318121864265,-22.62463492745355,0,16.976982331031586,-1000,-60.99963492745355,11.799155460165322,-1000,11.799155460165322,0,0
665,137.146608,-94.441428,1.5,false,false,168.168444,0,true,665,3.7,1.728,-104.62456261857125,0.0004705310172512846,-33.3475222934791,256,17.68384047916728,-1000,-71.7225222934791,14.847124071645279,-1000,14.847124071645279,0,0
685,65.142357,158.498481,1.5,false,false,172.96689,0,true,685,0.7,1.728,-104.62456261857125,0.0001148540679201346,-39.498287656206955,0,16.338678720835844,-1000,-77.87328765620695,16.445986552711638,-1000,16.445986552711638,0,0
687,-157.242364,-17.539915,1.5,false,false,159.953305,0,true,687,0.7,1.728,-104.62456261857125,0.00162110602199908,-27.920490081358622,128,23.672410809124823,-1000,-66.29549008135862,16.660878882370806,-1000,16.660878882370806,0,0
701,115.627542,-103.81579,1.5,false,false,157.161372,0,true,701,3.7,1.728,-104.62456261857125,0.00025339591011813874,-35.98999741311438,256,21.893278848589787,-1000,-74.36499741311438,15.864818970363014,-1000,15.864818970363014,0,0
705,24.623313,-181.243269,1.5,false,false,184.411713,0,true,705,3.7,1.728,-104.62456261857125,0.004027828143801006,-23.970233609331153,256,23.156992872532285,-1000,-62.34523360933115,14.980627551003444,-1000,14.980627551003444,0,0
723,-1.296853,283.573581,1.5,false,false,284.548603,0,true,723,1.7,1.728,-104.62456261857125,0.0011491956676683336,-29.463808371527833,0,18.034949153539714,-1000,-67.83880837152783,10.974505555740969,-1000,10.950545186789341,0,0
732,73.122312,130.007205,1.5,false,false,150.999986,0,true,732,2.7,1.728,-104.62456261857125,0.009560172125890139,-20.205370713545797,0,26.36075884048423,-1000,-58.5803707135458,16.801669275488944,-1000,16.801669275488944,0,0
786,93.161425,162.213705,1.5,false,false,188.532722,0,true,786,1.7,1.728,-104.62456261857125,0.009487273694472966,-20.238203472427493,0,26.542290428733367,-1000,-58.61320347242749,16.294860878900533,-1000,16.294860878900533,0,0
811,45.513784,-143.061546,1.5,false,false,151.955126,0,true,811,0.7,1.728,-104.62456261857125,0.0009343678841742771,-30.371150258349246,256,17.51271068090177,-1000,-68.74615025834925,16.370927178339976,-1000,16.370927178339976,0,0
815,89.799298,-60.837533,1.5,false,false,110.983644,0,true,815,3.7,1.728,-104.62456261857125,0.0012826027683861215,-28.967507169615175,256,19.50256017691069,-1000,-67.34250716961517,12.861284690938732,-1000,12.861284690938732,0,0
827,164.751479,-111.585395,1.5,false,false,200.366166,0,true,827,3.7,1.728,-104.62456261857125,0.00015162883134388957,-38.3128367014466,256,15.501938081969158,-1000,-76.6878367014466,14.095981403343197,-1000,14.095981403343197,0,0
829,22.852531,-157.968174,1.5,false,false,161.333296,0,true,829,0.7,1.728,-104.62456261857125,0.0006116836078793294,-32.1939083893279,256,18.626705456775312,-1000,-70.5689083893279,15.41880596831647,-1000,15.41880596831647,0,0
876,92.729738,104.422477,1.5,false,false,141.616059,0,true,876,3.7,1.728,-104.62456261857125,0.0006452314349437256,-31.929716360006665,0,22.07147555192875,-1000,-70.30471636000667,16.337054621637932,-1000,16.337054621637932,0,0
881,184.083676,128.542696,1.5,false,false,225.748255,0,true,881,1.7,1.728,-104.62456261857125,4.373346782703594E-05,-43.726091101399874,0,15.03205078977313,-1000,-82.10109110139987,13.502198785972697,-1000,13.502198785972697,0,0
893,513.486317,62.754394,1.5,false,false,68.353821,1,true,893,1.7,1.728,-104.62456261857125,0.005728735747985683,-22.434786087723275,1,24.502289085854223,-1000,-60.809786087723275,9.236274150492237,-1000,-0.869815088912989,0,0
907,292.516755,-50.712938,1.5,false,false,214.879847,1,true,907,0.7,1.728,-104.62456261857125,0.0008814772419197478,-30.564857223661477,129,24.07298188420146,-1000,-68.93985722366148,15.065652354470851,-1000,15.065652354470851,0,0
944,554.91925,-51.726458,1.5,false,false,79.018988,1,true,944,3.7,1.728,-104.62456261857125,0.0006400386841794525,-31.953573252822864,257,24.428908112099258,-1000,-70.32857325282286,9.328791688948876,-1000,-3.8628331117200165,0,0
963,531.491168,126.635577,1.5,false,false,132.591528,1,true,963,3.7,1.728,-104.62456261857125,0.02693970309370409,-15.70739865073353,1,25.83114430167622,-1000,-54.08239865073353,15.753820925626155,-1000,15.753820925626155,0,0
965,526.869081,45.461125,1.5,false,false,57.800619,1,true,965,0.7,1.728,-104.62456261857125,0.0026994854325778166,-25.703712175533724,1,24.18893816413143,-1000,-64.07871217553372,8.808620215797896,-1000,1.5015291370811932,0,0
969,410.453188,1.769843,1.5,false,false,92.59597,1,true,969,1.7,1.728,-104.62456261857125,0.0022821617798915706,-26.43131554371496,129,24.673759086481454,-1000,-64.80631554371496,10.000139287504503,-1000,10.000139287504503,0,0
1004,559.768107,-181.027895,1.5,false,false,192.082209,1,true,1004,0.7,1.728,-104.62456261857125,0.0040203506581291525,-23.96808755258097,257,26.0677382699037,-1000,-62.34308755258097,15.819419341928015,-1000,15.819419341928015,0,0
1037,322.727813,177.580543,1.5,false,false,252.016919,1,true,1037,0.7,1.728,-104.62456261857125,0.002528250674288963,-25.98597353592156,258,24.855568023259025,-1000,-64.36097353592156,13.51063123236613,-1000,13.51063123236613,0,0
1103,581.031756,-82.957572,1.5,false,false,118.323093,1,true,1103,1.7,1.728,-104.62456261857125,0.0001173341481122902,-39.379044026895116,257,17.690802602789105,-1000,-77.75404402689512,15.024358885943649,-1000,15.024358885943649,0,0
1105,630.977777,-80.679643,1.5,false,false,155.616943,1,true,1105,0.7,1.728,-104.62456261857125,0.005168150438723624,-22.91096939021729,257,19.88958205893738,-1000,-61.28596939021729,14.514062645469135,-1000,14.514062645469135,0,0
1106,502.966095,-235.948928,1.5,false,false,237.134865,1,true,1106,2.7,1.728,-104.62456261857125,0.0003753790546739748,-34.342715220744964,257,16.918173395674714,-1000,-72.71771522074496,12.51715497359612,-1000,12.51715497359612,0,0
1107,565.71881,-39.439458,1.5,false,false,80.166594,1,true,1107,3.7,1.728,-104.62456261857125,0.0015302993963316924,-28.198742234897637,257,19.679450928946792,-1000,-66.57374223489764,9.633355694707012,-1000,-3.1363033225258876,0,0
1117,418.274718,24.295131,1.5,false,false,88.439387,1,true,1117,2.7,1.728,-104.62456261857125,0.0022477444130514397,-26.499241449020545,129,24.139534056833412,-1000,-64.87424144902054,9.417432341190482,-1000,7.020328645466531,0,0
1125,516.145264,120.650365,1.5,false,false,123.973507,1,true,1125,0.7,1.728,-104.62456261857125,0.0004902511280205513,-33.146889509064806,1,19.270151913677438,-1000,-71.5218895090648,14.627687855381005,-1000,14.627687855381005,0,0
1127,646.795683,-94.692102,1.5,false,false,176.26065,1,true,1127,1.7,1.728,-104.62456261857125,0.0029499559142142366,-25.340785216604026,257,20.454346049582803,-1000,-63.715785216604026,14.456700236224957,-1000,14.456700236224957,0,0
1154,583.015331,60.96461,1.5,false,false,105.643169,1,true,1154,3.7,1.728,-104.62456261857125,0.0003687469674542426,-34.37033941074942,1,20.604369645348967,-1000,-72.74533941074942,12.28599567847191,-1000,12.28599567847191,0,0
1187,618.696305,118.82718,1.5,false,false,169.590571,1,true,1187,0.7,1.728,-104.62456261857125,2.04875392597108E-05,-46.9684448120081,1,17.127424198736925,-1000,-85.3434448120081,16.029663604229945,-1000,16.029663604229945,0,0
1208,584.629016,79.430563,1.5,false,false,118.421007,1,true,1208,3.7,1.728,-104.62456261857125,0.0004288030091848449,-33.706493093196144,1,21.728649224894042,-1000,-72.08149309319614,14.813321706251779,-1000,14.813321706251779,0,0
1255,311.851268,-57.796237,1.5,false,false,198.223611,1,true,1255,3.7,1.728,-104.62456261857125,2.4510316334262222E-05,-46.208711918228204,129,16.23208742947476,-1000,-84.5837119182282,15.227499935523753,-1000,15.227499935523753,0,0
1271,361.794126,-19.502779,1.5,false,false,141.539647,1,true,1271,0.7,1.728,-104.62456261857125,0.002876635869494569,-25.42966146530312,129,23.69443127244508,-1000,-63.80466146530312,16.53511136333354,-1000,16.53511136333354,0,0
1274,373.522167,42.484736,1.5,false,false,135.476363,1,true,1274,1.7,1.728,-104.62456261857125,0.0001277396785425584,-38.98449402968261,129,19.564009561199946,-1000,-77.35949402968261,15.6006148983322,-1000,15.6006148983322,0,0
1277,621.98805,-143.032197,1.5,false,false,189.450636,1,true,1277,2.7,1.728,-104.62456261857125,0.00022676173560033446,-36.508923540629226,257,18.241737917628654,-1000,-74.88392354062923,15.962590719042103,-1000,15.962590719042103,0,0
1295,543.118928,88.984517,1.5,false,false,101.635311,1,true,1295,2.7,1.728,-104.62456261857125,0.00019895908618193124,-37.05268477361115,1,20.30218643950873,-1000,-75.42768477361115,12.963214859317372,-1000,12.963214859317372,0,0
1327,596.149542,138.425658,1.5,false,false,170.172406,1,true,1327,2.7,1.728,-104.62456261857125,0.0014460304824960891,-28.409172286364026,1,25.979509951208904,-1000,-66.78417228636403,16.592304106156902,-1000,16.592304106156902,0,0
1360,373.010732,-90.2836,1.5,false,false,157.574276,1,true,1360,0.7,1.728,-104.62456261857125,0.010318402361549647,-19.96620961442902,129,16.22636736759597,-1000,-58.34120961442902,13.229753200002135,-1000,13.229753200002135,0,0
1370,554.122522,-126.02149,1.5,false,false,139.150685,1,true,1370,0.7,1.728,-104.62456261857125,0.00021167705059563476,-36.77024973542805,257,22.052717142815204,-1000,-75.14524973542805,16.54324882282307,-1000,16.54324882282307,0,0
1436,145.868177,409.675822,1.5,false,false,109.271663,2,true,1436,1.7,1.728,-104.62456261857125,0.00891716020825144,-20.50933499570079,130,25.72720348331847,-1000,-58.88433499570079,14.057344036529653,-1000,14.057344036529653,0,0
1486,373.162595,302.885085,1.5,false,false,180.705482,2,true,1486,0.7,1.728,-104.62456261857125,0.004540138039241423,-23.440323946324902,258,25.952678676442126,-1000,-61.8153239463249,15.955377806004837,-1000,15.955377806004837,0,0
